Name,playerId,team,PA,AB,primaryPOS,TB,isQualified,OPS,AVG,OBP,SLG,K%,BB%,Whiff%,SwStr%,FB%,GB%,LD%,SB%,BABIP,OPS_percentile,AVG_percentile,OBP_percentile,SLG_percentile,K%_percentile,BB%_percentile,Whiff%_percentile,SwStr%_percentile,FB%_percentile,GB%_percentile,LD%_percentile,SB%_percentile,BABIP_percentile
Logan Moore,607355,MVA,251,216,C,96,True,0.801,0.269,0.357,0.444,23.5,11.2,32.7,48.2,29.4,40.6,18.1,0.0,0.327,64.0,53.0,59.0,66.0,66.0,70.0,80.0,53.0,59.0,28.0,54.0,7.0,54.0
Matt Adams,571431,TIJ,243,224,1B,110,True,0.8,0.272,0.309,0.491,26.3,5.3,32.2,53.6,30.3,32.7,25.5,,0.32,64.0,55.0,29.0,80.0,74.0,21.0,79.0,83.0,64.0,9.0,92.0,,50.0
Alan Espinoza,587275,VER,220,192,C,87,True,0.8,0.276,0.347,0.453,15.9,8.6,22.7,51.2,29.4,43.6,20.2,0.0,0.312,64.0,58.0,53.0,68.0,31.0,47.0,37.0,71.0,59.0,43.0,72.0,7.0,43.0
Webster Rivas,593590,YUC,250,221,1B,97,True,0.799,0.281,0.36,0.439,21.2,10.8,23.2,46.7,35.5,32.5,23.7,0.0,0.34,64.0,61.0,61.0,64.0,55.0,66.0,40.0,45.0,83.0,9.0,85.0,7.0,63.0
Xavier Fernández,641569,MEX,22,18,C,7,False,0.798,0.333,0.409,0.389,13.6,13.6,25.6,52.7,50.0,31.2,18.8,,0.375,63.0,89.0,87.0,45.0,20.0,88.0,51.0,79.0,97.0,7.0,60.0,,80.0
Marco Chicuate,617918,LEO,246,222,C,93,True,0.795,0.32,0.376,0.419,18.7,7.7,20.7,52.8,20.0,57.2,18.3,0.0,0.393,63.0,84.0,70.0,57.0,46.0,40.0,28.0,80.0,17.0,87.0,57.0,7.0,86.0
Niko Hulsizer,680881,TIG,44,38,LF,19,False,0.795,0.184,0.295,0.5,43.2,13.6,37.1,45.9,47.4,10.5,21.1,100.0,0.25,63.0,14.0,24.0,83.0,95.0,88.0,88.0,40.0,97.0,1.0,75.0,88.0,18.0
Gabriel Lino,593449,OAX,195,179,C,84,True,0.795,0.279,0.326,0.469,26.7,5.1,36.9,54.2,31.8,45.7,16.3,100.0,0.345,63.0,59.0,41.0,73.0,75.0,19.0,88.0,86.0,69.0,50.0,39.0,88.0,66.0
Aldo Nunez,800096,MVA,16,14,2B,5,False,0.795,0.357,0.438,0.357,25.0,6.3,26.9,52.0,10.0,40.0,50.0,66.7,0.5,63.0,96.0,97.0,38.0,71.0,29.0,57.0,75.0,4.0,27.0,99.0,50.0,99.0
Francisco Hernandez,674504,LAG,41,36,OF,15,False,0.792,0.306,0.375,0.417,14.6,4.9,12.3,41.6,25.8,51.6,22.6,,0.367,62.0,78.0,70.0,57.0,25.0,18.0,3.0,13.0,39.0,74.0,83.0,,77.0
