Name,playerId,team,PA,AB,primaryPOS,TB,isQualified,OPS,AVG,OBP,SLG,K%,BB%,Whiff%,SwStr%,FB%,GB%,LD%,SB%,BABIP,OPS_percentile,AVG_percentile,OBP_percentile,SLG_percentile,K%_percentile,BB%_percentile,Whiff%_percentile,SwStr%_percentile,FB%_percentile,GB%_percentile,LD%_percentile,SB%_percentile,BABIP_percentile
Carlos Herrera,650508,CHI,304,279,SS,112,True,0.737,0.29,0.336,0.401,14.5,5.6,23.1,50.8,17.4,55.2,17.0,50.0,0.333,48.0,66.0,47.0,50.0,24.0,23.0,39.0,70.0,9.0,82.0,45.0,32.0,59.0
Marco Jaime,668616,AGS,223,187,IF,65,True,0.735,0.283,0.387,0.348,13.0,13.9,15.3,39.5,19.3,54.0,20.5,33.3,0.331,47.0,63.0,77.0,35.0,16.0,89.0,7.0,7.0,13.0,79.0,73.0,20.0,56.0
Isaac Rodriguez,665455,TIJ,241,200,2B,71,True,0.732,0.255,0.377,0.355,13.7,14.9,13.6,33.0,33.7,42.0,17.2,73.7,0.293,47.0,43.0,71.0,37.0,21.0,92.0,5.0,0.0,77.0,34.0,47.0,57.0,33.0
Agustin Murillo,473242,QRO,65,52,3B,18,False,0.731,0.25,0.385,0.346,20.0,13.8,23.1,40.0,25.0,42.5,27.5,100.0,0.325,47.0,39.0,76.0,34.0,51.0,89.0,39.0,8.0,33.0,37.0,95.0,88.0,53.0
José Rondón,602922,MEX,250,216,SS,86,True,0.731,0.236,0.333,0.398,17.6,11.6,22.8,46.3,29.3,34.5,20.1,0.0,0.256,47.0,30.0,46.0,49.0,41.0,74.0,37.0,43.0,58.0,13.0,71.0,7.0,20.0
Dean Nevarez,681944,LAG,162,145,C,56,False,0.73,0.297,0.344,0.386,22.2,6.2,28.0,44.8,33.3,47.4,15.8,33.3,0.378,46.0,70.0,52.0,44.0,60.0,28.0,62.0,30.0,76.0,59.0,36.0,20.0,81.0
Jorge Flores,592312,OAX,275,224,SS,75,True,0.726,0.281,0.391,0.335,17.5,14.2,23.1,40.5,25.8,50.0,17.7,58.3,0.356,46.0,61.0,80.0,31.0,41.0,90.0,39.0,10.0,39.0,68.0,51.0,41.0,72.0
Adeiny Hechavarría,588751,TAB,262,237,2B,98,True,0.726,0.249,0.312,0.414,23.7,8.0,24.2,51.6,36.0,37.6,14.0,0.0,0.304,46.0,37.0,31.0,56.0,67.0,41.0,45.0,73.0,85.0,19.0,28.0,7.0,39.0
Jorge Bonifacio,593528,SLT,198,166,OF,68,True,0.723,0.205,0.313,0.41,25.8,12.1,28.8,51.9,45.4,26.9,14.3,100.0,0.234,46.0,21.0,32.0,55.0,73.0,78.0,68.0,74.0,95.0,5.0,29.0,88.0,14.0
Fernando Villalobos,682655,MEX,9,8,C,4,False,0.722,0.125,0.222,0.5,44.4,11.1,33.3,39.5,75.0,25.0,0.0,,0.0,45.0,5.0,8.0,83.0,97.0,69.0,82.0,7.0,100.0,4.0,3.0,,2.0
Edwin Espinal,606340,VER,338,310,1B,121,True,0.721,0.29,0.331,0.39,10.1,5.3,18.0,48.8,28.7,42.6,18.8,100.0,0.302,45.0,66.0,44.0,46.0,6.0,21.0,16.0,57.0,55.0,37.0,60.0,88.0,38.0
Adrian Tovalin,668210,LAG,202,181,1B,74,True,0.721,0.249,0.312,0.409,23.8,5.9,30.5,51.1,24.8,48.9,19.7,50.0,0.305,45.0,37.0,31.0,54.0,67.0,26.0,72.0,70.0,31.0,64.0,67.0,32.0,40.0
Alfredo Hurtado,685771,JAL,143,126,C,50,False,0.719,0.238,0.322,0.397,22.4,10.5,30.3,53.6,27.4,48.4,15.8,100.0,0.278,45.0,31.0,39.0,49.0,61.0,64.0,71.0,83.0,48.0,63.0,36.0,88.0,26.0
Micker Adolfo,650520,LEO,106,91,RF,37,False,0.718,0.198,0.311,0.407,30.2,10.4,31.5,47.9,22.0,47.5,22.0,0.0,0.241,44.0,17.0,30.0,53.0,84.0,63.0,76.0,51.0,23.0,59.0,80.0,7.0,15.0
Darren Seferina,657261,LAG,70,61,2B,24,False,0.717,0.246,0.324,0.393,28.6,10.0,32.5,45.9,25.6,48.8,14.0,33.3,0.35,44.0,35.0,40.0,47.0,80.0,59.0,79.0,40.0,36.0,64.0,28.0,20.0,69.0
Jose Camacho,692978,LEO,88,78,3B,30,False,0.715,0.244,0.33,0.385,29.5,11.4,38.5,49.2,34.6,38.5,17.3,100.0,0.34,44.0,35.0,43.0,43.0,82.0,72.0,90.0,60.0,80.0,22.0,48.0,88.0,63.0
Cesar Cuevas,802562,TIG,7,7,IF,3,False,0.715,0.286,0.286,0.429,28.6,0.0,40.0,45.5,20.0,40.0,40.0,,0.4,44.0,65.0,19.0,60.0,80.0,3.0,93.0,35.0,17.0,27.0,99.0,,90.0
Efren Navarro,519068,CAM,47,43,1B,17,False,0.714,0.256,0.319,0.395,8.5,8.5,9.3,40.1,53.8,28.2,10.3,,0.263,43.0,44.0,37.0,48.0,4.0,46.0,1.0,9.0,98.0,6.0,15.0,,22.0
Ricardo Valenzuela,594020,OAX,179,156,C,60,False,0.714,0.256,0.329,0.385,15.1,7.3,15.9,43.7,28.1,46.7,15.6,,0.294,43.0,44.0,43.0,43.0,28.0,37.0,8.0,25.0,52.0,56.0,35.0,,33.0
Edson Garcia,616404,TIG,248,226,LF,91,True,0.712,0.261,0.309,0.403,13.7,6.0,20.4,50.4,29.4,42.1,17.3,75.0,0.277,43.0,48.0,29.0,51.0,21.0,27.0,26.0,67.0,59.0,34.0,48.0,60.0,25.0
Patrick Mazeika,664850,MEX,56,48,C,17,False,0.711,0.25,0.357,0.354,12.5,14.3,22.4,51.7,34.1,34.1,9.8,100.0,0.293,43.0,39.0,59.0,37.0,14.0,90.0,35.0,73.0,78.0,13.0,13.0,88.0,33.0
Héctor Sánchez,516949,LAR,120,108,C,44,False,0.71,0.241,0.303,0.407,26.7,7.5,24.9,47.5,34.6,41.0,17.9,,0.301,42.0,33.0,26.0,53.0,75.0,38.0,49.0,49.0,80.0,30.0,53.0,,37.0
Calvin Estrada,690414,JAL,94,84,OF,31,False,0.709,0.274,0.34,0.369,16.0,8.5,24.3,42.8,30.0,55.7,5.7,80.0,0.319,42.0,57.0,50.0,39.0,31.0,46.0,46.0,19.0,64.0,83.0,8.0,65.0,49.0
Japhet Amador,515189,MEX,179,154,1B,60,False,0.708,0.234,0.318,0.39,21.8,11.2,30.7,45.6,31.9,34.5,25.2,,0.265,42.0,29.0,37.0,46.0,58.0,70.0,74.0,37.0,69.0,13.0,91.0,,23.0
Angelo Castellano,613546,JAL,126,111,SS,45,False,0.708,0.243,0.303,0.405,10.3,7.1,20.4,50.0,32.0,38.8,17.5,54.5,0.25,42.0,34.0,26.0,52.0,7.0,35.0,26.0,64.0,70.0,23.0,49.0,40.0,18.0
Juan Carlos Negret,676002,CHI,195,185,RF,75,False,0.708,0.27,0.303,0.405,32.8,2.6,34.8,52.1,29.5,35.2,23.8,100.0,0.39,42.0,53.0,26.0,52.0,87.0,9.0,84.0,75.0,60.0,14.0,85.0,88.0,85.0
Alcides Escobar,444876,TIG,298,269,SS,104,True,0.707,0.271,0.32,0.387,11.7,5.4,19.2,56.6,29.8,41.3,19.0,57.1,0.292,41.0,54.0,38.0,44.0,11.0,21.0,22.0,92.0,62.0,31.0,61.0,40.0,32.0
Jose Martinez,642686,LAR,227,193,SS,73,True,0.707,0.244,0.329,0.378,11.9,9.7,18.1,41.0,29.3,52.3,13.2,50.0,0.264,41.0,35.0,43.0,41.0,12.0,56.0,17.0,12.0,58.0,75.0,23.0,32.0,23.0
Kevin Medrano,605378,LAR,22,18,2B,7,False,0.707,0.222,0.318,0.389,18.2,13.6,16.7,50.0,26.7,60.0,13.3,,0.214,41.0,25.0,37.0,45.0,43.0,88.0,12.0,64.0,44.0,90.0,24.0,,10.0
Angel Camacho,803376,YUC,58,53,IF,21,False,0.706,0.264,0.31,0.396,17.2,5.2,20.6,45.3,29.5,47.7,18.2,100.0,0.318,40.0,50.0,29.0,49.0,39.0,20.0,27.0,34.0,60.0,60.0,55.0,88.0,47.0
Alejandro Gonzalez,524648,OAX,70,60,CF,20,False,0.704,0.267,0.371,0.333,28.6,10.0,32.6,47.9,27.5,45.0,15.0,100.0,0.4,40.0,52.0,68.0,30.0,80.0,59.0,80.0,51.0,49.0,49.0,32.0,88.0,90.0
Jesus Cordova,703007,JAL,22,21,C,10,False,0.703,0.238,0.227,0.476,50.0,0.0,53.2,63.5,36.4,27.3,18.2,100.0,0.4,40.0,31.0,9.0,76.0,98.0,3.0,99.0,97.0,86.0,5.0,55.0,88.0,90.0
Jose Gaitan,668165,VER,270,235,OF,91,True,0.703,0.26,0.316,0.387,18.9,6.7,26.3,53.4,28.9,50.8,15.2,75.0,0.306,40.0,47.0,35.0,44.0,46.0,32.0,54.0,82.0,56.0,72.0,34.0,60.0,40.0
Randy Romero,678499,TAB,305,265,LF,94,True,0.703,0.275,0.348,0.355,17.0,8.9,18.2,42.8,23.3,51.6,17.5,96.8,0.338,40.0,57.0,54.0,37.0,37.0,50.0,18.0,19.0,27.0,74.0,49.0,75.0,62.0
Jose Manuel Orozco,554031,DUR,275,240,LF,90,True,0.702,0.238,0.327,0.375,29.1,10.9,38.1,50.2,28.4,40.1,24.1,66.7,0.323,39.0,31.0,42.0,40.0,82.0,67.0,89.0,66.0,53.0,27.0,86.0,50.0,52.0
Jairus Richards,684551,TIJ,161,131,LF,42,False,0.7,0.237,0.379,0.321,24.8,16.1,30.7,39.5,28.6,47.3,22.0,89.5,0.333,39.0,31.0,72.0,27.0,70.0,94.0,74.0,7.0,54.0,58.0,80.0,73.0,59.0
Roberto Caro,622736,TIG,139,120,RF,43,False,0.699,0.267,0.341,0.358,25.9,10.1,24.1,41.4,27.0,46.1,19.1,81.8,0.361,39.0,52.0,51.0,38.0,73.0,60.0,45.0,13.0,46.0,52.0,63.0,67.0,74.0
Ricky Rodriguez,674491,VER,40,33,1B,12,False,0.697,0.242,0.333,0.364,35.0,12.5,33.7,53.6,33.3,57.1,9.5,,0.368,39.0,33.0,46.0,39.0,90.0,80.0,83.0,83.0,76.0,87.0,12.0,,77.0
Arismendy Alcántara,570489,TIG,105,95,2B,37,False,0.694,0.232,0.305,0.389,31.4,9.5,28.2,48.5,40.3,43.5,14.5,83.3,0.31,38.0,28.0,27.0,45.0,85.0,55.0,63.0,55.0,92.0,42.0,30.0,69.0,43.0
Jose Aguilar,591572,SLT,204,166,CF,55,True,0.693,0.247,0.362,0.331,15.7,11.8,22.7,43.3,22.7,51.1,17.7,25.0,0.286,38.0,36.0,63.0,30.0,30.0,76.0,37.0,23.0,25.0,73.0,51.0,16.0,29.0
Alberto Carreon,549930,VER,30,28,SS,11,False,0.693,0.25,0.3,0.393,10.0,6.7,21.6,52.6,32.0,44.0,16.0,50.0,0.25,38.0,39.0,25.0,47.0,6.0,32.0,33.0,78.0,70.0,45.0,37.0,32.0,18.0
Luis Jimenez,499864,CAM,82,75,3B,28,False,0.69,0.253,0.317,0.373,19.5,4.9,17.8,57.6,33.9,35.6,15.3,40.0,0.298,38.0,42.0,36.0,40.0,48.0,18.0,16.0,94.0,78.0,15.0,34.0,23.0,35.0
Jose Heberto Felix,510548,TAB,85,81,C,32,False,0.688,0.284,0.293,0.395,11.8,0.0,16.6,63.2,21.6,48.6,16.2,100.0,0.304,37.0,64.0,22.0,48.0,11.0,3.0,11.0,97.0,21.0,64.0,38.0,88.0,39.0
Brian Sanchez,660354,TIG,44,37,OF,12,False,0.688,0.243,0.364,0.324,22.7,11.4,30.6,51.5,25.9,55.6,14.8,0.0,0.308,37.0,34.0,64.0,28.0,62.0,72.0,73.0,72.0,40.0,83.0,32.0,7.0,41.0
Takeru Ohashi,826637,TIG,151,128,OF,43,False,0.687,0.25,0.351,0.336,27.2,11.9,28.3,43.9,20.0,66.7,13.3,100.0,0.36,37.0,39.0,55.0,31.0,77.0,77.0,64.0,26.0,17.0,95.0,24.0,88.0,73.0
Rodolfo Amador,616613,MVA,82,77,3B,29,False,0.686,0.286,0.309,0.377,15.9,2.4,19.8,63.0,22.7,40.9,27.3,50.0,0.338,37.0,65.0,29.0,41.0,31.0,9.0,24.0,97.0,25.0,29.0,94.0,32.0,62.0
Alex D. Mejia,622270,SLT,268,246,2B,91,True,0.686,0.28,0.316,0.37,15.3,4.9,23.7,55.7,22.1,53.1,18.8,16.7,0.322,37.0,60.0,35.0,40.0,29.0,18.0,43.0,90.0,23.0,77.0,60.0,15.0,51.0
Jorge Gonzalez,675585,AGS,23,21,OF,8,False,0.685,0.238,0.304,0.381,26.1,8.7,30.0,49.4,40.0,46.7,13.3,,0.333,36.0,31.0,27.0,42.0,73.0,48.0,71.0,61.0,91.0,56.0,24.0,,59.0
Francisco Cordoba,510612,MEX,37,31,C,12,False,0.684,0.161,0.297,0.387,24.3,10.8,26.2,48.5,22.7,36.4,9.1,,0.15,36.0,10.0,24.0,44.0,69.0,66.0,53.0,55.0,25.0,16.0,11.0,,4.0
Eddy Diaz,677647,LEO,162,148,SS,58,False,0.683,0.25,0.291,0.392,13.0,4.9,20.5,50.8,25.0,54.5,16.7,100.0,0.278,36.0,39.0,21.0,47.0,16.0,18.0,27.0,70.0,33.0,81.0,42.0,88.0,26.0
Dawel Lugo,608475,TAB,344,329,3B,128,True,0.677,0.271,0.288,0.389,17.2,2.3,23.4,60.3,28.3,46.4,17.8,100.0,0.309,35.0,54.0,20.0,45.0,39.0,8.0,41.0,96.0,53.0,54.0,52.0,88.0,41.0
Angel Erro,652669,TIG,205,185,3B,65,True,0.676,0.259,0.325,0.351,13.7,7.3,16.2,44.9,29.6,42.1,17.6,66.7,0.292,35.0,46.0,40.0,36.0,21.0,37.0,9.0,31.0,60.0,34.0,50.0,50.0,32.0
Jhon Nuñez,642344,JAL,159,148,C,56,False,0.675,0.25,0.297,0.378,28.3,4.4,29.7,56.4,23.1,47.1,26.9,66.7,0.347,35.0,39.0,24.0,41.0,79.0,15.0,70.0,92.0,27.0,58.0,94.0,50.0,67.0
Rubi Silva,600975,QRO,63,54,RF,19,False,0.675,0.241,0.323,0.352,22.2,11.1,34.9,48.4,21.4,61.9,14.3,,0.3,35.0,33.0,39.0,36.0,60.0,69.0,85.0,54.0,20.0,93.0,29.0,,36.0
Edwin Garcia,542655,CAM,113,99,SS,34,False,0.673,0.253,0.33,0.343,13.3,10.6,12.3,44.3,43.0,40.7,5.8,100.0,0.286,34.0,42.0,43.0,33.0,18.0,65.0,3.0,28.0,95.0,29.0,8.0,88.0,29.0
Jesus Martinez,642487,CHI,281,246,CF,85,True,0.673,0.252,0.327,0.346,18.1,8.9,24.5,45.0,16.8,66.3,13.4,77.8,0.309,34.0,41.0,42.0,34.0,43.0,50.0,47.0,33.0,8.0,94.0,25.0,63.0,41.0
Carlos Martínez,642751,CHI,227,204,C,74,True,0.673,0.265,0.31,0.363,12.3,6.2,16.7,46.3,35.5,44.3,13.7,0.0,0.289,34.0,51.0,29.0,38.0,13.0,28.0,12.0,43.0,83.0,46.0,27.0,7.0,30.0
Cristian Mejia,685736,OAX,15,11,C,3,False,0.673,0.182,0.4,0.273,33.3,20.0,28.0,40.3,16.7,33.3,33.3,,0.333,34.0,14.0,84.0,19.0,88.0,98.0,62.0,9.0,7.0,11.0,97.0,,59.0
Miguel Ojeda Jr.,683110,VER,25,21,C,8,False,0.673,0.19,0.292,0.381,24.0,8.0,25.6,53.1,56.2,25.0,12.5,,0.214,34.0,15.0,22.0,42.0,68.0,41.0,51.0,80.0,98.0,4.0,20.0,,10.0
Alfredo Lopez,594906,DUR,207,183,2B,62,True,0.672,0.268,0.333,0.339,10.1,8.7,14.2,42.2,25.9,51.2,12.7,73.7,0.295,33.0,52.0,46.0,33.0,6.0,48.0,6.0,16.0,40.0,73.0,20.0,57.0,34.0
Gilberto Vizcarra,672953,YUC,38,29,C,8,False,0.671,0.241,0.395,0.276,10.5,15.8,16.9,47.8,19.2,46.2,11.5,,0.269,33.0,33.0,82.0,20.0,8.0,93.0,13.0,51.0,12.0,52.0,18.0,,23.0
Francisco Arcia,516472,LAR,274,245,C,84,True,0.67,0.261,0.327,0.343,17.5,6.2,20.8,47.5,28.2,50.5,17.3,50.0,0.318,33.0,48.0,42.0,33.0,41.0,28.0,28.0,49.0,53.0,71.0,48.0,32.0,47.0
Michael Baca,685834,TAB,25,23,2B,8,False,0.668,0.261,0.32,0.348,32.0,4.0,32.7,47.1,6.7,66.7,26.7,,0.4,32.0,48.0,38.0,35.0,86.0,13.0,80.0,47.0,3.0,95.0,93.0,,90.0
Ricardo Cespedes,650701,CAM,254,236,CF,89,True,0.668,0.263,0.291,0.377,19.7,3.1,18.1,59.8,31.1,35.8,20.2,60.0,0.317,32.0,50.0,21.0,41.0,49.0,10.0,17.0,95.0,66.0,15.0,72.0,43.0,46.0
Jesus Guerrero,815334,LEO,15,12,C,4,False,0.666,0.25,0.333,0.333,20.0,13.3,32.0,41.0,30.0,60.0,10.0,0.0,0.3,32.0,39.0,46.0,30.0,51.0,85.0,78.0,12.0,64.0,90.0,14.0,7.0,36.0
Brayan Quintero,678540,CAM,192,165,2B,57,True,0.666,0.242,0.321,0.345,14.6,6.3,18.1,51.4,25.7,53.5,13.2,33.3,0.272,32.0,33.0,39.0,34.0,25.0,29.0,17.0,72.0,37.0,79.0,23.0,20.0,24.0
Alexis Wilson,656029,TIG,229,200,C,74,True,0.664,0.2,0.294,0.37,22.7,11.4,28.7,45.6,32.0,38.7,12.7,100.0,0.227,32.0,18.0,23.0,40.0,62.0,72.0,67.0,37.0,70.0,22.0,20.0,88.0,13.0
Maikel Serrano,692979,JAL,218,200,OF,69,True,0.663,0.26,0.318,0.345,19.7,5.0,23.9,56.9,19.6,58.9,12.0,83.3,0.323,31.0,47.0,37.0,34.0,49.0,19.0,44.0,93.0,14.0,88.0,18.0,69.0,52.0
Jasson Atondo,662962,TAB,277,254,IF,88,True,0.661,0.276,0.315,0.346,7.9,5.1,12.3,45.4,27.5,47.9,19.6,83.3,0.3,31.0,58.0,33.0,34.0,3.0,19.0,3.0,35.0,49.0,61.0,66.0,69.0,36.0
Carlos Garzon,604996,DUR,179,157,C,49,False,0.66,0.261,0.348,0.312,23.5,11.2,23.5,42.5,17.2,54.3,21.6,100.0,0.351,31.0,48.0,54.0,24.0,66.0,70.0,41.0,17.0,8.0,80.0,77.0,88.0,69.0
Billy Hamilton,571740,JAL,258,230,RF,76,True,0.657,0.257,0.327,0.33,23.3,8.9,27.1,48.5,19.5,46.6,21.3,90.2,0.347,30.0,45.0,42.0,29.0,65.0,50.0,58.0,55.0,14.0,55.0,76.0,74.0,67.0
Alex Liddi,499926,YUC,219,184,3B,62,True,0.657,0.196,0.32,0.337,33.8,14.6,37.7,42.2,27.9,43.2,20.7,83.3,0.286,30.0,16.0,38.0,32.0,90.0,91.0,89.0,16.0,50.0,40.0,74.0,69.0,29.0
Melvin Mercedes,621034,TIG,257,224,IF,70,True,0.656,0.254,0.343,0.313,13.2,9.7,16.1,38.1,31.1,47.7,14.5,76.5,0.3,30.0,43.0,52.0,25.0,17.0,56.0,9.0,4.0,66.0,60.0,30.0,62.0,36.0
Ryan Aguilar,666922,LAR,113,95,RF,32,False,0.652,0.211,0.315,0.337,27.4,13.3,35.4,48.6,29.9,43.3,17.9,100.0,0.297,30.0,22.0,33.0,32.0,78.0,85.0,86.0,56.0,63.0,41.0,53.0,88.0,35.0
Jose Guadalupe Chavez,453575,JAL,220,192,2B,62,True,0.652,0.25,0.329,0.323,19.1,9.5,19.1,44.1,25.8,43.9,18.7,100.0,0.313,30.0,39.0,43.0,28.0,47.0,55.0,21.0,27.0,39.0,45.0,59.0,88.0,44.0
Michael De León,650958,LEO,158,139,3B,46,False,0.652,0.252,0.321,0.331,20.9,8.9,26.4,46.1,26.4,49.1,20.0,50.0,0.318,30.0,41.0,39.0,30.0,53.0,50.0,54.0,41.0,43.0,65.0,69.0,32.0,47.0
Julian Leon,624645,LAG,95,78,C,26,False,0.648,0.205,0.315,0.333,37.9,11.6,42.5,41.0,39.1,50.0,4.3,,0.341,29.0,21.0,33.0,30.0,92.0,74.0,96.0,12.0,89.0,68.0,7.0,,64.0
Jecksson Flores,600898,MVA,213,176,SS,56,True,0.642,0.216,0.324,0.318,13.1,7.5,16.6,41.3,22.3,50.3,17.8,90.0,0.241,29.0,24.0,40.0,26.0,17.0,38.0,11.0,13.0,24.0,70.0,52.0,74.0,15.0
Ramon Mora,692269,LAG,15,13,OF,4,False,0.641,0.308,0.333,0.308,6.7,6.7,4.3,48.9,61.5,15.4,7.7,100.0,0.308,29.0,78.0,46.0,23.0,2.0,32.0,0.0,58.0,99.0,1.0,10.0,88.0,41.0
Jesus Valdez,472505,VER,218,200,LF,69,True,0.639,0.235,0.294,0.345,15.1,7.3,23.0,45.5,25.0,42.3,17.9,0.0,0.258,28.0,29.0,23.0,34.0,28.0,37.0,38.0,35.0,33.0,36.0,53.0,7.0,21.0
Ryan Grotjohn,676639,TAB,70,62,OF,20,False,0.637,0.226,0.314,0.323,22.9,11.4,25.2,43.8,26.1,52.2,13.0,,0.289,28.0,26.0,32.0,28.0,63.0,72.0,50.0,25.0,42.0,75.0,21.0,,30.0
Sergio Burruel,571531,CHI,120,107,C,34,False,0.635,0.234,0.317,0.318,21.7,10.8,26.3,46.8,32.1,37.0,23.5,0.0,0.291,28.0,29.0,36.0,26.0,57.0,66.0,54.0,46.0,71.0,17.0,84.0,7.0,31.0
Gabriel Gutierrez,468368,MEX,90,75,C,24,False,0.634,0.213,0.314,0.32,10.0,10.0,11.5,41.7,17.1,55.7,21.4,,0.231,28.0,23.0,32.0,27.0,6.0,59.0,2.0,14.0,8.0,83.0,76.0,,13.0
Leo German,634496,PUE,179,157,CF,49,False,0.63,0.242,0.318,0.312,22.9,8.4,23.6,48.0,26.7,55.0,11.7,75.0,0.313,27.0,33.0,37.0,24.0,63.0,45.0,42.0,52.0,44.0,82.0,18.0,60.0,44.0
Justin O'Conner,592604,AGS,151,135,P,49,False,0.63,0.215,0.267,0.363,26.5,6.6,26.6,46.9,42.0,33.0,16.0,0.0,0.255,27.0,23.0,16.0,38.0,75.0,31.0,55.0,47.0,94.0,10.0,37.0,7.0,20.0
Ricardo Rincon,824002,VER,7,5,1B,1,False,0.629,0.2,0.429,0.2,14.3,28.6,33.3,34.6,75.0,0.0,25.0,,0.25,27.0,18.0,94.0,10.0,23.0,100.0,82.0,1.0,100.0,1.0,90.0,,18.0
Heber Villalobos,699136,OAX,7,5,C,1,False,0.629,0.2,0.429,0.2,28.6,28.6,36.4,44.0,0.0,0.0,33.3,,0.333,27.0,18.0,94.0,10.0,80.0,100.0,87.0,26.0,1.0,1.0,97.0,,59.0
Ti'Quan Forbes,656431,QRO,74,63,3B,20,False,0.628,0.206,0.311,0.317,31.1,8.1,40.3,46.1,26.8,58.5,9.8,50.0,0.282,27.0,21.0,30.0,26.0,85.0,42.0,94.0,41.0,45.0,88.0,13.0,32.0,27.0
Bryant Flete,622356,TIG,77,68,2B,21,False,0.625,0.235,0.316,0.309,26.0,10.4,33.1,45.5,16.3,67.3,12.2,100.0,0.319,26.0,29.0,35.0,24.0,73.0,63.0,81.0,35.0,7.0,96.0,19.0,88.0,49.0
Freddvil Chevez,673882,DUR,23,22,1B,7,False,0.622,0.273,0.304,0.318,43.5,4.3,41.5,63.9,33.3,66.7,0.0,,0.5,26.0,56.0,27.0,26.0,96.0,15.0,96.0,98.0,76.0,95.0,3.0,,99.0
Gabriel Noriega,527045,TIJ,95,89,3B,30,False,0.614,0.247,0.277,0.337,25.3,2.1,28.3,55.3,19.4,56.7,16.4,50.0,0.313,26.0,36.0,18.0,32.0,72.0,8.0,64.0,89.0,13.0,86.0,40.0,32.0,44.0
Fabricio Macias,671246,YUC,191,175,LF,57,True,0.612,0.24,0.286,0.326,20.9,5.2,25.1,48.3,25.2,56.1,15.1,0.0,0.296,26.0,32.0,19.0,28.0,53.0,20.0,49.0,53.0,36.0,84.0,33.0,7.0,34.0
Oziel Flores,680029,CHI,125,114,IF,36,False,0.611,0.254,0.295,0.316,23.2,5.6,24.3,46.6,19.1,55.1,14.6,50.0,0.329,25.0,43.0,24.0,26.0,64.0,23.0,46.0,44.0,12.0,82.0,31.0,32.0,55.0
Domingo Leyba,642736,TAB,173,153,2B,48,False,0.611,0.216,0.297,0.314,18.5,9.8,23.0,44.8,19.5,41.5,26.8,0.0,0.258,25.0,24.0,24.0,25.0,45.0,57.0,38.0,30.0,14.0,32.0,94.0,7.0,21.0
Diego Madero,616569,SLT,85,80,SS,25,False,0.611,0.275,0.298,0.313,11.8,3.5,21.7,52.3,20.8,40.3,22.2,50.0,0.31,25.0,57.0,25.0,25.0,11.0,11.0,33.0,76.0,18.0,28.0,81.0,32.0,43.0
Issmael Salas,447638,QRO,127,115,2B,34,False,0.611,0.243,0.315,0.296,13.4,6.3,18.7,47.6,31.6,41.8,16.3,,0.286,25.0,34.0,33.0,22.0,19.0,29.0,19.0,50.0,69.0,33.0,39.0,,29.0
Carlos Arellano,689161,VER,237,207,SS,66,True,0.61,0.237,0.291,0.319,22.8,4.6,24.7,50.6,30.1,48.2,15.1,75.0,0.305,24.0,31.0,21.0,27.0,63.0,16.0,48.0,69.0,64.0,62.0,33.0,60.0,40.0
Angel Chavarin,594092,CAM,51,48,C,16,False,0.608,0.229,0.275,0.333,27.5,5.9,21.5,46.5,38.2,47.1,2.9,,0.303,24.0,27.0,18.0,30.0,78.0,26.0,32.0,44.0,87.0,58.0,7.0,,38.0
Hector Mora,692941,CHI,94,92,IF,31,False,0.606,0.261,0.269,0.337,28.7,1.1,28.3,53.7,19.7,57.6,16.7,50.0,0.369,24.0,48.0,16.0,32.0,81.0,7.0,64.0,84.0,15.0,87.0,42.0,32.0,78.0
Fernando Perez,622047,QRO,146,123,2B,34,False,0.602,0.228,0.326,0.276,21.2,11.0,27.5,50.3,28.1,43.8,17.7,,0.29,23.0,27.0,41.0,20.0,55.0,68.0,60.0,67.0,52.0,44.0,51.0,,31.0
Yangervis Solarte,500208,OAX,96,84,3B,26,False,0.602,0.214,0.292,0.31,10.4,10.4,13.7,47.5,15.8,51.3,15.8,,0.216,23.0,23.0,22.0,24.0,7.0,63.0,5.0,49.0,7.0,73.0,36.0,,11.0
Demetrius Sims,676443,TIG,103,94,SS,29,False,0.6,0.223,0.291,0.309,33.0,6.8,37.2,49.9,38.3,33.3,21.7,85.7,0.339,23.0,26.0,21.0,24.0,87.0,33.0,88.0,63.0,87.0,11.0,78.0,71.0,62.0
Sebastian Garcia,701722,OAX,27,22,3B,5,False,0.597,0.227,0.37,0.227,14.8,14.8,14.0,43.5,27.8,50.0,11.1,100.0,0.278,23.0,27.0,67.0,12.0,26.0,92.0,5.0,24.0,50.0,68.0,17.0,88.0,26.0
Carlos Figueroa,624221,TIG,274,234,CF,62,True,0.596,0.231,0.331,0.265,20.4,10.9,16.4,40.8,14.8,64.5,16.4,69.2,0.303,23.0,28.0,44.0,17.0,52.0,67.0,10.0,11.0,6.0,93.0,40.0,55.0,38.0
Juan Mora,680643,MVA,23,19,2B,5,False,0.596,0.263,0.333,0.263,26.1,0.0,31.7,56.9,13.3,53.3,20.0,50.0,0.385,23.0,50.0,46.0,17.0,73.0,3.0,77.0,93.0,5.0,78.0,69.0,32.0,84.0
Italo Motta,692798,LEO,212,185,2B,57,True,0.593,0.205,0.285,0.308,26.4,8.5,30.8,48.1,19.3,50.4,17.0,69.2,0.276,22.0,21.0,19.0,23.0,74.0,46.0,74.0,52.0,13.0,71.0,45.0,55.0,25.0
